label,pix1,pix2
0,['116' '116' '115' '116' '115' '116' '116' '115' '117' '116'],['121' '122' '122' '123' '122' '123' '123' '123' '122' '121']
0,['116' '115' '116' '115' '116' '116' '115' '117' '116' '117'],['122' '122' '123' '122' '123' '123' '123' '122' '121' '123']
0,['115' '116' '115' '116' '116' '115' '117' '116' '117' '114'],['122' '123' '122' '123' '123' '123' '122' '121' '123' '122']
0,['116' '115' '116' '116' '115' '117' '116' '117' '114' '115'],['123' '122' '123' '123' '123' '122' '121' '123' '122' '121']
0,['115' '116' '116' '115' '117' '116' '117' '114' '115' '117'],['122' '123' '123' '123' '122' '121' '123' '122' '121' '123']
0,['116' '116' '115' '117' '116' '117' '114' '115' '117' '117'],['123' '123' '123' '122' '121' '123' '122' '121' '123' '122']
0,['116' '115' '117' '116' '117' '114' '115' '117' '117' '116'],['123' '123' '122' '121' '123' '122' '121' '123' '122' '122']
0,['115' '117' '116' '117' '114' '115' '117' '117' '116' '115'],['123' '122' '121' '123' '122' '121' '123' '122' '122' '123']
0,['117' '116' '117' '114' '115' '117' '117' '116' '115' '115'],['122' '121' '123' '122' '121' '123' '122' '122' '123' '124']
0,['116' '117' '114' '115' '117' '117' '116' '115' '115' '116'],['121' '123' '122' '121' '123' '122' '122' '123' '124' '123']
0,['117' '114' '115' '117' '117' '116' '115' '115' '116' '116'],['123' '122' '121' '123' '122' '122' '123' '124' '123' '125']
0,['114' '115' '117' '117' '116' '115' '115' '116' '116' '115'],['122' '121' '123' '122' '122' '123' '124' '123' '125' '123']
0,['115' '117' '117' '116' '115' '115' '116' '116' '115' '116'],['121' '123' '122' '122' '123' '124' '123' '125' '123' '123']
0,['117' '117' '116' '115' '115' '116' '116' '115' '116' '116'],['123' '122' '122' '123' '124' '123' '125' '123' '123' '123']
0,['117' '116' '115' '115' '116' '116' '115' '116' '116' '117'],['122' '122' '123' '124' '123' '125' '123' '123' '123' '123']
0,['116' '115' '115' '116' '116' '115' '116' '116' '117' '116'],['122' '123' '124' '123' '125' '123' '123' '123' '123' '122']
0,['115' '115' '116' '116' '115' '116' '116' '117' '116' '116'],['123' '124' '123' '125' '123' '123' '123' '123' '122' '124']
0,['115' '116' '116' '115' '116' '116' '117' '116' '116' '116'],['124' '123' '125' '123' '123' '123' '123' '122' '124' '122']
0,['116' '116' '115' '116' '116' '117' '116' '116' '116' '117'],['123' '125' '123' '123' '123' '123' '122' '124' '122' '123']
0,['116' '115' '116' '116' '117' '116' '116' '116' '117' '116'],['125' '123' '123' '123' '123' '122' '124' '122' '123' '122']
0,['115' '116' '116' '117' '116' '116' '116' '117' '116' '116'],['123' '123' '123' '123' '122' '124' '122' '123' '122' '121']
0,['116' '116' '117' '116' '116' '116' '117' '116' '116' '118'],['123' '123' '123' '122' '124' '122' '123' '122' '121' '122']
0,['116' '117' '116' '116' '116' '117' '116' '116' '118' '117'],['123' '123' '122' '124' '122' '123' '122' '121' '122' '122']
0,['117' '116' '116' '116' '117' '116' '116' '118' '117' '115'],['123' '122' '124' '122' '123' '122' '121' '122' '122' '124']
0,['116' '116' '116' '117' '116' '116' '118' '117' '115' '116'],['122' '124' '122' '123' '122' '121' '122' '122' '124' '123']
0,['116' '116' '117' '116' '116' '118' '117' '115' '116' '117'],['124' '122' '123' '122' '121' '122' '122' '124' '123' '123']
